Key,Context,Example,Source,de,en-us,es,es-es,fr,it,ja,ko,pt,pt-br,ru,zh-cjv,zh-cn,zh-tw
GameChat_ChatChannel_MutedInChannel,,,,Du wurdest stummgeschaltet und kannst in diesem Kanal nicht kommunizieren.,You are muted and cannot talk in this channel,Se te ha silenciado y no puedes hablar en este canal.,Se te ha silenciado y no puedes hablar en este canal.,Vous êtes bâillonné et ne pouvez pas parler sur ce canal,Non hai più la parola e non puoi chattare in questo canale,あなたはミュートされこのチャンネルで話すことは出来ません。,이 채널에서 음소거되어 이야기할 수 없어요,Você está silenciado(a) e não pode falar neste canal,Você está silenciado(a) e não pode falar neste canal,Вы добавлены в список игнорируемых и не можете общаться на этом канале,你已被禁言，无法在此频道聊天,你已被禁言，无法在此频道聊天,您遭到靜音，無法在此頻道聊天
GameChat_ChatCommandsTeller_AllChannelWelcomeMessage,,,,"Gib „/?“ oder „/help“ im Chat ein, um eine Liste der Chatbefehle zu erhalten.",Chat '/?' or '/help' for a list of chat commands.,"Envía ""/?"" o ""/help"" para obtener la lista de comandos del chat.","Envía ""/?"" o ""/help"" para obtener la lista de comandos del chat.","Dans le chat, « /? » ou « /help » pour la liste des commandes du chat.","Scrivi ""/?"" o ""/help"" per avere l'elenco dei comandi della chat.",チャットで 「/?」 または 「/help」を入力するとチャットコマンドの一覧を表示します。,채팅창에 '/?' 또는 '/도움말'을 입력하면 채팅 명령어 목록을 볼 수 있어요.,Digite '/?' ou '/help' no chat para ver uma lista de comandos.,Digite '/?' ou '/help' no chat para ver uma lista de comandos.,"Введите «/?» или «/help», чтобы увидеть список команд чата.",输入 “/?”或 “/help” 可获取聊天指令清单。,输入 “/?”或 “/help” 可获取聊天指令清单。,輸入「/?」或「/help」取得聊天指令清單。
GameChat_ChatCommandsTeller_Desc,,,,Das sind die grundlegenden Chatbefehle.,These are the basic chat commands.,Estos son los comandos básicos del chat.,Estos son los comandos básicos del chat.,Voici les commandes de chat basiques.,Questi sono i comandi base della chat.,これらは基本的なチャットコマンドです。,기본 채팅 명령어에요.,Esses são os comandos de chat básicos.,Esses são os comandos de chat básicos.,Это основные команды чата.,这些是基本聊天指令。,这些是基本聊天指令。,以下是基本聊天室指令。
GameChat_ChatCommandsTeller_MeCommand,,,,/me <Text> : Rollenspielbefehl für Aktionen.,/me <text> : roleplaying command for doing actions.,/me <text>: comando de rol para realizar acciones.,/me <text>: comando de rol para realizar acciones.,/me <texte> : commande jeu de rôle pour accomplir des actions.,/me <testo>: comando per descrivere azioni e giocare di ruolo.,/me <テキスト> : アクションのためのロールプレイングコマンド。,/me <텍스트> : 작업 수행을 위한 역할 놀이 명령어.,/me <texto> : comando de RPG para realizar ações.,/me <texto> : comando de RPG para realizar ações.,/me <текст> : сообщить о выполнении какого-либо действия.,/me <text> : 做动作的角色扮演指令。,/me <text> : 做动作的角色扮演指令。,/me <文字>：角色扮演動作的指令。
GameChat_ChatCommandsTeller_MuteCommand,,,,/mute <Sprecher> : Schaltet Sprecher:in stumm.,/mute <speaker> : mute a speaker.,/mute <usuario>: silenciar a un usuario.,/mute <usuario>: silenciar a un usuario.,/mute <interlocuteur> : bâillonne un interlocuteur.,/mute <giocatore>: togli la parola a un giocatore.,/mute <スピーカー> : 相手をミュート。,/mute <스피커> : 스피커 음소거.,/mute <pessoa> : silenciar uma pessoa.,/mute <pessoa> : silenciar uma pessoa.,/mute <пользователь> : игнорировать пользователя.,/mute <用户名称>：将用户禁言。,/mute <用户名称>：将用户禁言。,/mute <使用者名稱> : 將此使用者靜音。
GameChat_ChatCommandsTeller_SwitchChannelCommand,,,,/c <Kanal> : Zum Wechseln zwischen Kanalmenüreitern.,/c <channel> : switch channel menu tabs.,/c <channel>: alternar pestañas del menú del chat.,/c <channel>: alternar pestañas del menú del chat.,/c <canal> : échanger les onglets du menu Canal.,/c <canale>: cambia scheda nel menu dei canali.,/c <チャンネル> : チャンネルメニュータブを切り替える。,/c <채널> : 채널 메뉴 탭 전환.,/c <canal> : trocar abas de menu de canal.,/c <canal> : trocar abas de menu de canal.,/c <канал> : переключить вкладку в меню каналов.,/c <频道名称> : 切换频道菜单标签。,/c <频道名称> : 切换频道菜单标签。,/c <頻道名稱>：切換頻道選單標籤。
GameChat_ChatCommandsTeller_TeamCommand,,,,/team <Nachricht> oder /t <Nachricht> : Sendet eine Teamnachricht an Spieler:innen deines Teams.,/team <message> or /t <message> : send a team chat to players on your team.,/team <message> o /t <message>: enviar un mensaje de chat de equipo a los jugadores de tu equipo.,/team <message> o /t <message>: enviar un mensaje de chat de equipo a los jugadores de tu equipo.,/team <message> ou /t <message> : envoyer un message aux joueurs de votre équipe.,/team <messaggio> o /t <messaggio>: invia un messaggio a tutti i giocatori della tua squadra.,/team <メッセージ> または /t <メッセージ> : 自分のチームメンバーにチームチャットを送る。,/team <메시지> 또는 /t <메시지> : 팀 내 플레이어에게 팀 채팅 전송.,/team <mensagem> ou /t <mensagem> : enviar um chat de equipe aos jogadores da sua equipe.,/team <mensagem> ou /t <mensagem> : enviar um chat de equipe aos jogadores da sua equipe.,/team <сообщение> или /t <сообщение> : отправить сообщение игрокам из вашей команды.,/team <message> 或 /t <message> : 向你团队的玩家发送团队聊天。,/team <message> 或 /t <message> : 向你团队的玩家发送团队聊天。,/team <訊息> 或 /t <訊息> : 傳送訊息給隊伍中的玩家。
GameChat_ChatCommandsTeller_UnMuteCommand,,,,/unmute <Sprecher> : Hebt Stummschaltung eines Sprechers auf.,/unmute <speaker> : unmute a speaker.,/unmute <speaker>: cancelar silencio de un usuario.,/unmute <speaker>: cancelar silencio de un usuario.,/unmute <interlocuteur> : retire le bâillon d'un interlocuteur.,/unmute <giocatore>: restituisci la parola a un giocatore.,/unmute <スピーカー> : 相手のミュートを解除.,/unmute <스피커> : 스피커 음소거 해제.,/unmute <pessoa> : remover silêncio de uma pessoa.,/unmute <pessoa> : remover silêncio de uma pessoa.,/unmute <пользователь> : перестать игнорировать пользователя.,/unmute <用户名称> : 取消该用户禁言。,/unmute <用户名称> : 取消该用户禁言。,/unmute <使用者名稱> : 將此使用者解除靜音。
GameChat_ChatCommandsTeller_WhisperCommand,,,,/whisper <Sprecher:in> oder /w <Sprecher:in> : Öffnet privaten Nachrichtenkanal mit Sprecher:in.,/whisper <speaker> or /w <speaker> : open private message channel with speaker.,/whisper <usuario> o /w <usuario>: abrir canal de mensajes privados con un usuario.,/whisper <usuario> o /w <usuario>: abrir canal de mensajes privados con un usuario.,/whisper <interlocuteur> ou /w <interlocuteur> : ouvre un canal de discussion privé avec l'interlocuteur.,/whisper <giocatore> o /w <giocatore>: apri un canale privato con un giocatore.,/whisper <スピーカー> または /w <スピーカー> : プライベートメッセージチャンネルを開く,/whisper <스피커> 또는 /w <스피커> : 스피커 채널에서 비공개 메시지 열기.,/whisper <pessoa> ou /w <pessoa> : abrir um canal de mensagem privada com uma pessoa.,/whisper <pessoa> ou /w <pessoa> : abrir um canal de mensagem privada com uma pessoa.,/whisper <пользователь> или /w <пользователь> : открыть канал для личной переписки с пользователем.,/whisper <用户名称> 或 /w <用户名称> : 与此用户开启私人消息频道。,/whisper <用户名称> 或 /w <用户名称> : 与此用户开启私人消息频道。,/whisper <使用者名稱> 或 /w <使用者名稱> : 與此使用者開啟私人訊息頻道。
GameChat_ChatFloodDetector_Message,,,,"Du musst warten, bevor du eine weitere Nachricht senden kannst!",You must wait before sending another message!,¡Debes esperar antes de enviar otro mensaje!,¡Debes esperar antes de enviar otro mensaje!,Vous devez attendre avant d'envoyer un autre message !,Devi aspettare prima di inviare un altro messaggio!,少し待ってから次のメッセージを送ってください!,추가 메시지를 보내기 전에 기다려야 해요!,Você precisa esperar antes de enviar outra mensagem!,Você precisa esperar antes de enviar outra mensagem!,"Необходимо подождать, прежде чем отправлять новое сообщение!",发送另一条消息前你必须等待！,发送另一条消息前你必须等待！,請稍後再傳送訊息。
GameChat_ChatFloodDetector_MessageDisplaySeconds,,,,"Du musst {RBX_NUMBER} Sekunden lang warten, bevor du eine weitere Nachricht senden kannst!",You must wait {RBX_NUMBER} seconds before sending another message!,¡Debes esperar {RBX_NUMBER} segundos antes de enviar otro mensaje!,¡Debes esperar {RBX_NUMBER} segundos antes de enviar otro mensaje!,Vous devez attendre {RBX_NUMBER} secondes avant d'envoyer un autre message !,Devi aspettare {RBX_NUMBER} secondi prima di inviare un altro messaggio!,{RBX_NUMBER} 秒待ってから次のメッセージを送ってください!,추가 메시지를 보내기 전에 {RBX_NUMBER}초 동안 기다려야 해요!,Você precisa esperar {RBX_NUMBER} segundos antes de enviar outra mensagem!,Você precisa esperar {RBX_NUMBER} segundos antes de enviar outra mensagem!,Вы сможете отправить новое сообщение только через {RBX_NUMBER} сек.!,发送另一条消息前你必须等待 {RBX_NUMBER} 秒！,发送另一条消息前你必须等待 {RBX_NUMBER} 秒！,請 {RBX_NUMBER} 秒後再傳送訊息。
GameChat_ChatMain_ChatBarText,,,,Klicke zum Chatten hier oder drücke die „/“-Taste.,"To chat click here or press ""/"" key","Para chatear, haz clic aquí o pulsa la tecla ""/"".","Para chatear, haz clic aquí o pulsa la tecla ""/"".","Pour discuter, cliquez ici ou sur la touche « / »","Per chattare, clicca qui o premi il tasto ""/""",チャットするにはここをクリックするか 「 / 」 キーを押します。,"여기를 클릭하거나 ""/"" 키를 누른 후 채팅을 시작하세요","Para escrever clique aqui ou aperte a tecla ""/""","Para escrever clique aqui ou aperte a tecla ""/""","Чтобы общаться в чате, нажмите здесь или на клавишу «/»",若要聊天，请点按此处或按下“/”键,若要聊天，请点按此处或按下“/”键,若要聊天，請按下此處或「/」鍵
GameChat_ChatMain_ChatBarTextTouch,,,,Tippe zum Chatten hier.,Tap here to chat,Toca aquí para chatear,Toca aquí para chatear,Touchez ici pour discuter,Tocca qui per chattare,ここをタップしてチャットする,여기를 클릭한 후 내용을 입력하세요,Toque aqui para escrever,Toque aqui para escrever,"Коснитесь здесь, чтобы общаться в чате",轻点此处以聊天,轻点此处以聊天,按下此處聊天
